4	0	5	0
22	0	92	2
166	3	1816	18
581	13	11472	141
1274	28	24119	756
1270	38	24345	1433
1058	38	23451	1852
1113	54	23737	1736
1136	101	17706	1933
1027	56	11788	1384
1163	54	7802	1101
1280	50	7820	777
1765	59	6291	565
2425	52	3719	478
4510	54	2717	449
5897	53	2261	245
8627	63	3894	2105
11527	104	2222	236
11801	141	1987	314
13338	194	1512	181
11213	336	2526	81
10589	286	2942	49
8647	254	2401	38
6062	238	2668	38
5491	235	2029	34
6336	205	2068	-9
6628	178	2450	52
6912	177	2582	42
5844	135	3130	36
8179	127	3786	39
5695	127	4650	30
5824	99	5427	38
6584	98	6386	37
6688	152	8455	74
7345	134	11165	69
7665	100	14973	75
9819	76	24680	137
10788	171	26744	195
9834	70	28124	217
15970	213	33909	343
20107	173	32666	430
21200	196	31982	443
22773	220	28666	436
25490	314	30897	578
32856	342	90765	678
33659	426	42393	553
30141	310	35587	512
25061	495	34023	533
22987	609	25335	505
20920	347	23821	465
16856	326	20418	404
12674	222	22949	394
9042	208	23255	322
7556	121	25415	329
8161	132	27862	271
7617	115	30764	215
6075	74	30545	248
7417	80	26295	233
6588	60	25363	273
5706	94	19038	237
5288	90	2118	220
4244	72	7885	201
4076	61	2865	160
2388	31	3329	118
2111	48	2047	128
1038	22	1769	72
747	26	1659	51
571	12	1619	44
696	27	1648	63
1117	11	1395	36
1657	16	1846	32
2885	16	2860	34
5030	16	4781	36
10315	26	6569	32
17162	46	8941	43
22003	89	11712	45
25346	174	13372	57
32606	239	14024	97
38113	329	14158	99
31674	368	15018	110
35152	465	15722	132
22396	466	13971	138
18769	490	12433	144
13644	359	11941	125
9969	303	9711	128
7090	240	8212	126
6080	244	9421	121
5177	125	8552	113
4616	142	10937	87
4679	113	13562	82
4047	90	15245	85
6051	86	25515	118
7355	103	30715	119
7130	86	42274	138
8367	89	98198	147
30746	86	179181	195
72932	110	220581	400
104873	168	150825	633
112585	194	73190	670
89406	158	42091	653
51817	525	21232	554
24134	345	14196	411
18570	397	12889	324
9433	257	8658	195
3776	171	7706	119
2281	411	6934	91
612	8	6830	64
1376	113	7092	42
1025	98	8516	34
1566	59	11849	53
891	48	14291	38
1496	36	14943	44
2179	33	19072	53
3073	80	24959	55
4301	22	33254	56
6082	0	34373	65
8034	36	33181	84
9205	2	25242	70
9456	63	22531	88
10348	25	18828	77
10621	12	20200	75
11014	26	22002	61
13733	10	22175	44
13446	12	25223	50
13918	77	26662	59
17662	60	25054	49
15956	16	22374	70
15987	7	19261	68
13640	12	16813	57
10272	18	15436	67
13261	18	13524	54
13359	36	13018	48
9106	17	14059	46
6693	15	17539	38
4635	34	15395	35
4207	25	13632	41
3153	78	10696	36
