SC	4	0
SC	22	0
SC	166	3
SC	581	13
SC	1274	28
SC	1270	38
SC	1058	38
SC	1113	54
SC	1136	101
SC	1027	56
SC	1163	54
SC	1280	50
SC	1765	59
SC	2425	52
SC	4510	54
SC	5897	53
SC	8627	63
SC	11527	104
SC	11801	141
SC	13338	194
SC	11213	336
SC	10589	286
SC	8647	254
SC	6062	238
SC	5491	235
SC	6336	205
SC	6628	178
SC	6912	177
SC	5844	135
SC	8179	127
SC	5695	127
SC	5824	99
SC	6584	98
SC	6688	152
SC	7345	134
SC	7665	100
SC	9819	76
SC	10788	171
SC	9834	70
SC	15970	213
SC	20107	173
SC	21200	196
SC	22773	220
SC	25490	314
SC	32856	342
SC	33659	426
SC	30141	310
SC	25061	495
SC	22987	609
SC	20920	347
SC	16856	326
SC	12674	222
SC	9042	208
SC	7556	121
SC	8161	132
SC	7617	115
SC	6075	74
SC	7417	80
SC	6588	60
SC	5706	94
SC	5288	90
SC	4244	72
SC	4076	61
SC	2388	31
SC	2111	48
SC	1038	22
SC	747	26
SC	571	12
SC	696	27
SC	1117	11
SC	1657	16
SC	2885	16
SC	5030	16
SC	10315	26
SC	17162	46
SC	22003	89
SC	25346	174
SC	32606	239
SC	38113	329
SC	31674	368
SC	35152	465
SC	22396	466
SC	18769	490
SC	13644	359
SC	9969	303
SC	7090	240
SC	6080	244
SC	5177	125
SC	4616	142
SC	4679	113
SC	4047	90
SC	6051	86
SC	7355	103
SC	7130	86
SC	8367	89
SC	30746	86
SC	72932	110
SC	104873	168
SC	112585	194
SC	89406	158
SC	51817	525
SC	24134	345
SC	18570	397
SC	9433	257
SC	3776	171
SC	2281	411
SC	612	8
SC	1376	113
SC	1025	98
SC	1566	59
SC	891	48
SC	1496	36
SC	2179	33
SC	3073	80
SC	4301	22
SC	6082	0
SC	8034	36
SC	9205	2
SC	9456	63
SC	10348	25
SC	10621	12
SC	11014	26
SC	13733	10
SC	13446	12
SC	13918	77
SC	17662	60
SC	15956	16
SC	15987	7
SC	13640	12
SC	10272	18
SC	13261	18
SC	13359	36
SC	9106	17
SC	6693	15
SC	4635	34
SC	4207	25
SC	3153	78
NJ	5	0
NJ	92	2
NJ	1816	18
NJ	11472	141
NJ	24119	756
NJ	24345	1433
NJ	23451	1852
NJ	23737	1736
NJ	17706	1933
NJ	11788	1384
NJ	7802	1101
NJ	7820	777
NJ	6291	565
NJ	3719	478
NJ	2717	449
NJ	2261	245
NJ	3894	2105
NJ	2222	236
NJ	1987	314
NJ	1512	181
NJ	2526	81
NJ	2942	49
NJ	2401	38
NJ	2668	38
NJ	2029	34
NJ	2068	-9
NJ	2450	52
NJ	2582	42
NJ	3130	36
NJ	3786	39
NJ	4650	30
NJ	5427	38
NJ	6386	37
NJ	8455	74
NJ	11165	69
NJ	14973	75
NJ	24680	137
NJ	26744	195
NJ	28124	217
NJ	33909	343
NJ	32666	430
NJ	31982	443
NJ	28666	436
NJ	30897	578
NJ	90765	678
NJ	42393	553
NJ	35587	512
NJ	34023	533
NJ	25335	505
NJ	23821	465
NJ	20418	404
NJ	22949	394
NJ	23255	322
NJ	25415	329
NJ	27862	271
NJ	30764	215
NJ	30545	248
NJ	26295	233
NJ	25363	273
NJ	19038	237
NJ	2118	220
NJ	7885	201
NJ	2865	160
NJ	3329	118
NJ	2047	128
NJ	1769	72
NJ	1659	51
NJ	1619	44
NJ	1648	63
NJ	1395	36
NJ	1846	32
NJ	2860	34
NJ	4781	36
NJ	6569	32
NJ	8941	43
NJ	11712	45
NJ	13372	57
NJ	14024	97
NJ	14158	99
NJ	15018	110
NJ	15722	132
NJ	13971	138
NJ	12433	144
NJ	11941	125
NJ	9711	128
NJ	8212	126
NJ	9421	121
NJ	8552	113
NJ	10937	87
NJ	13562	82
NJ	15245	85
NJ	25515	118
NJ	30715	119
NJ	42274	138
NJ	98198	147
NJ	179181	195
NJ	220581	400
NJ	150825	633
NJ	73190	670
NJ	42091	653
NJ	21232	554
NJ	14196	411
NJ	12889	324
NJ	8658	195
NJ	7706	119
NJ	6934	91
NJ	6830	64
NJ	7092	42
NJ	8516	34
NJ	11849	53
NJ	14291	38
NJ	14943	44
NJ	19072	53
NJ	24959	55
NJ	33254	56
NJ	34373	65
NJ	33181	84
NJ	25242	70
NJ	22531	88
NJ	18828	77
NJ	20200	75
NJ	22002	61
NJ	22175	44
NJ	25223	50
NJ	26662	59
NJ	25054	49
NJ	22374	70
NJ	19261	68
NJ	16813	57
NJ	15436	67
NJ	13524	54
NJ	13018	48
NJ	14059	46
NJ	17539	38
NJ	15395	35
NJ	13632	41
NJ	10696	36
